num_decks,shuffle_point,repeats,shoes_per_run,avg_EV_per_hand,avg_EV_percent,avg_net_profit,avg_win_rate,avg_loss_rate,avg_push_rate
1,0.25,10,500,0.020019999999999996,0.20019999999999993,158.0,0.43846,0.47858,0.08374
1,0.33,10,500,-0.005399999999999997,-0.053999999999999965,38.0,0.43728,0.48059,0.08298
1,0.5,10,500,-0.009310000000000008,-0.09310000000000007,54.0,0.4381,0.47913,0.08393
1,0.75,10,500,-0.11893,-1.1892999999999998,-77.0,0.43643,0.48556,0.08008
2,0.25,10,500,-0.07497,-0.7496999999999999,-459.0,0.4348,0.48226,0.08334
2,0.33,10,500,-0.09539,-0.9539000000000001,-574.5,0.43331,0.48288,0.08429
2,0.5,10,500,-0.05488,-0.5488,-204.5,0.43627,0.48015,0.0842
2,0.75,10,500,-0.08238000000000001,-0.8238000000000001,-157.0,0.43584,0.48116,0.08417
3,0.25,10,500,-0.14375,-1.4375,-1512.5,0.43064,0.48439,0.08523
3,0.33,10,500,-0.09602,-0.9601999999999999,-873.0,0.43324,0.48285,0.08423
3,0.5,10,500,-0.07997,-0.7997000000000001,-490.5,0.43361,0.48355000000000004,0.08326
3,0.75,10,500,-0.21025,-2.1025,-711.0,0.42736,0.48538,0.08806
4,0.25,10,500,-0.09676,-0.9676,-1348.0,0.43217,0.48179,0.08625
4,0.33,10,500,-0.1053,-1.0530000000000002,-1341.5,0.4326,0.48219,0.08542999999999999
4,0.5,10,500,-0.13656,-1.3655999999999997,-1262.5,0.43177,0.48375,0.0848
4,0.75,10,500,-0.042969999999999994,-0.42969999999999997,-152.0,0.43532,0.47927,0.086
6,0.25,10,500,-0.15753,-1.5753,-3378.0,0.43037000000000003,0.48502,0.08474
6,0.33,10,500,-0.11778,-1.1778,-2255.5,0.43161,0.48274,0.08578
6,0.5,10,500,-0.13828,-1.3827999999999998,-1965.0,0.43079,0.48434,0.08508
6,0.75,10,500,-0.15992,-1.5992,-1099.5,0.43035,0.48546,0.08459
8,0.25,10,500,-0.12668000000000001,-1.2668000000000001,-3617.0,0.43135999999999997,0.48346,0.0853
8,0.33,10,500,-0.09985999999999999,-0.9985999999999998,-2498.5,0.43247,0.48224,0.08541
8,0.5,10,500,-0.14764,-1.4764,-2752.0,0.43066,0.48391,0.08558
8,0.75,10,500,-0.16274,-1.6274,-1508.5,0.43072,0.48379,0.0858
