num_decks,shuffle_point,hands_played,shoes_played,EV_per_hand,net_profit,win_rate,loss_rate,push_rate
1,0.25,7594,1000,-0.1863,-1415.0,0.4328,0.4907,0.0769
1,0.33,6885,1000,0.0348,400.0,0.4366,0.4803,0.0835
1,0.5,5200,1000,-0.4776,-2335.0,0.4188,0.5012,0.0806
2,0.25,14719,1000,-0.1705,-2390.0,0.4331,0.485,0.0821
2,0.33,13269,1000,-0.1405,-1735.0,0.4321,0.4836,0.0846
2,0.5,9974,1000,-0.2796,-2640.0,0.4271,0.4899,0.0833
4,0.25,29005,1000,-0.1777,-5155.0,0.4311,0.4854,0.0835
4,0.33,26072,1000,-0.0683,-1720.0,0.4364,0.4805,0.0833
4,0.5,19528,1000,-0.0397,-775.0,0.4353,0.4795,0.0854
6,0.25,43411,1000,-0.0363,-1575.0,0.4345,0.4792,0.0864
6,0.33,39046,1000,-0.1346,-5155.0,0.4299,0.483,0.0872
6,0.5,29028,1000,-0.0877,-2365.0,0.434,0.4835,0.0827
8,0.25,57704,1000,-0.0745,-4230.0,0.4341,0.4805,0.0854
8,0.33,51609,1000,-0.1454,-7495.0,0.4307,0.4838,0.0856
8,0.5,38569,1000,-0.1558,-5910.0,0.4308,0.4862,0.0831
